iter	Passed	Remaining
0	265	26332
1	401	19673
2	419	13566
3	579	13898
4	598	11369
5	612	9588
6	623	8280
7	637	7334
8	651	6591
9	664	5981
10	674	5458
11	687	5044
12	696	4660
13	709	4357
14	722	4093
15	734	3855
16	747	3650
17	761	3469
18	774	3303
19	788	3152
20	799	3008
21	813	2884
22	825	2764
23	838	2655
24	849	2549
25	861	2453
26	874	2363
27	887	2283
28	901	2207
29	913	2131
30	922	2053
31	936	1990
32	949	1927
33	962	1868
34	976	1813
35	989	1759
36	1001	1705
37	1013	1654
38	1028	1608
39	1041	1562
40	1066	1534
41	1186	1638
42	1207	1601
43	1222	1556
44	1238	1513
45	1254	1472
46	1264	1426
47	1277	1384
48	1295	1348
49	1309	1309
50	1323	1271
51	1335	1233
52	1346	1193
53	1463	1246
54	1477	1209
55	1490	1171
56	1503	1134
57	1516	1098
58	1528	1062
59	1540	1027
60	1553	993
61	1567	960
62	1581	928
63	1593	896
64	1606	864
65	1619	834
66	1632	803
67	1643	773
68	1655	743
69	1669	715
70	1681	686
71	1693	658
72	1705	630
73	1717	603
74	1728	576
75	1735	547
76	1741	520
77	1748	493
78	1754	466
79	1762	440
80	1768	414
81	1774	389
82	1782	365
83	1788	340
84	1796	316
85	1802	293
86	1808	270
87	1817	247
88	1823	225
89	1830	203
90	1836	181
91	1843	160
92	1849	139
93	1855	118
94	1863	98
95	1870	77
96	1877	58
97	1883	38
98	1889	19
99	1897	0
